objectid,filename,title,date,location,description,source,identifier,format,description
vs_ls_001,angkor.jpg,Angkor,,,,,,image/jpeg,
vs_ls_002,archi_drawing.jpg,Archi drawing,,,,,,image/jpeg,
vs_ls_003,banana.jpg,Banana,,,,,,image/jpeg,
vs_ls_004,budda.jpg,Budda,,,,,,image/jpeg,
vs_ls_005,cairo.jpg,Cairo,,,,,,image/jpeg,
vs_ls_006,cupid.jpg,Cupid,,,,,,image/jpeg,
vs_ls_007,girl.jpg,Girl,,,,,,image/jpeg,
vs_ls_008,goya.jpg,Goya,,,,,,image/jpeg,
vs_ls_009,mt_athos.jpg,Mt. Athos,,,,,,image/jpeg,
vs_ls_010,selinunte.jpg,Selinunte,,,,,,image/jpeg,
vs_ls_011,stairway.jpg,Stairway,,,,,,image/jpeg,
vs_ls_012,turner.jpg,Turner,,,,,,image/jpeg,
vs_ls_013,wailing_wall.jpg,Wailing Wall,,,,,,image/jpeg,